id,Title,Country-City,url,Phone,Email,Website,Instagram,Facebook,Telegram,WhatsApp,Viber,Linkedin,YouTube,Twitter,Vkontakte
189,"ULEX, LLP",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xb2de356d9671674fa9625d0c7b2447a3,+7 727 311 08 31,info@ultrans.kz,www.ultrans.kz,,,,,,,,,
190,"UNEXIM TRADE, LLC",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xccad92409d101e4d8eb1301e953d504b,+77273410121,info@uneximtrade.kz,www.uneximtrade.kz,,,,,,,,,
191,"UNICO KAZAKHSTAN, LLP",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x5cef61cd30b84c4f95e11cdf37692779,+7 /727/ 323-67-68,sales.kz@unicologx.com,www.unicologx.com,,,,,,,,,
192,"UNITED WAGON COMPANY, RPC, PJSC",Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xa4b07adea20ef8448b4c8aed0454c02a,+7 (499) 999-1520,info@uniwagon.com,www.uniwagon.com,,,https://t.me/uniwagon,,,,https://www.youtube.com/UnitedWagonCompany,,
193,"USM LOGISTICS, LLP",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x3d3130d2a8f620478d47d8eaa287a7f4,+7 (727) 229 65 11,info@usmlogistics.kz,www.usmlogistics.kz,usm_logistics,,,,,,,,
194,"UTLC ERA, JSC",Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x2a2c98040dd5ce4fbd72da92784a4bcb,+7 495 995-95-91,utlc@utlc.com,www.utlc.com,,,https://t.me/utlcera,,,,,,
195,"VICTORY-TRANS, LLP",Kazakhstan - Karaganda,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x5c6294b46222fe4da1b3f75191e83a98,+7 7212 50-55-88,info@victory-trans.kz,www.victory-trans.kz,@victory__trans,,,,,,,,
196,"WAGON SERVICE, LLP",Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x7ac20c799bdbf841ad7f59965bc71bf1,87011777555,Vagon.s01@mail.ru,,,,,,,,,,
197,WORLD JAGUAR LOGISTICS INC,China - Qingdao,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x90f2f87aeb4c724a9a21957290cd0e2a,+86-0532-68997888,multimodal-cis@worldjaguar.com,www.en.worldjaguar.com,,,,,,,,,
198,"YES LOGISTICS, LLP",Kazakhstan - Taldykorgan,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xc9d8d236a146be45a71e970978bd5aa6,+7 705 888 9292,d.rahimbekova@yeslog.kz,,,,,,,,,,
199,ZAGROS TRUCK,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xca663f6c316d9f42bb188d278800736b,+7 (701) 6630812,zagros.truck@mail.ru,www.zagros-truck.kz,zagros_truck,,,+7 701 663 0812,,,,,
200,CASPIAN INTEGRATED MARITIME SOLUTIONS,Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xde0d0fa72326bc44833496fa1c6525a2,+77172916001,office@caspianims.com,www.caspianims.com,,,,+77054711113,,,,,
201,TALLSHIP,Estonia - Tallinn,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x732916d2182b7143aef7cd75bba675b8,+3726273530,logistics@tallship.ee,www.tallship-cargo.com,,,,,,,,,
